JobId,Source,Destination,FileSize,Time,JobType,UpDown
32913842,wn1208240.tier2.hep.manchester.ac.uk,bohr3226.tier2.hep.manchester.ac.uk,12,1.0062898808881187,gate,0
32913842,tbn18.nikhef.nl,wn1208240.tier2.hep.manchester.ac.uk,73039,1.5411724649566736,gate,2
32913842,bohr3226.tier2.hep.manchester.ac.uk,wn1208240.tier2.hep.manchester.ac.uk,501843312,5.145203695321129,gate,2
32913842,dc2-grid-64.brunel.ac.uk,wn1208240.tier2.hep.manchester.ac.uk,6901,1.5358416677410673,gate,2
32913839,pccms103.ba.infn.it,storm-se-01.ba.infn.it,12,1.04234757319864,gate,0
32913839,tbn18.nikhef.nl,pccms103.ba.infn.it,73039,2.1648952053546964,gate,2
32913852,pccms95.ba.infn.it,storm-se-01.ba.infn.it,12,1.04234757319864,gate,0
32913852,tbn18.nikhef.nl,pccms95.ba.infn.it,73039,2.1648952053546964,gate,2
32913839,sbgse1.in2p3.fr,pccms103.ba.infn.it,501843312,27.346546667098664,gate,2
32913839,dc2-grid-64.brunel.ac.uk,pccms103.ba.infn.it,6901,1.6357912900111842,gate,2
32913852,storm-se-01.ba.infn.it,pccms95.ba.infn.it,501843312,16.405881284543284,gate,2
32913852,dc2-grid-64.brunel.ac.uk,pccms95.ba.infn.it,6901,1.6357912900111842,gate,2
32913834,wizard3.ba.infn.it,storm-se-01.ba.infn.it,12,1.0702863149199402,gate,0
32913834,ccsrm02.in2p3.fr,wizard3.ba.infn.it,73039,1.6255489611248777,gate,2
32913834,storm-se-01.ba.infn.it,wizard3.ba.infn.it,501843312,5.209200129353121,gate,2
32913834,dc2-grid-64.brunel.ac.uk,wizard3.ba.infn.it,6901,1.6776994025931344,gate,2
32913848,alicegrid103.ba.infn.it,storm-se-01.ba.infn.it,12,1.0062898808901082,gate,0
32913825,alicegrid93.ba.infn.it,storm-se-01.ba.infn.it,12,1.1657028363551944,gate,0
32913848,ccsrm02.in2p3.fr,alicegrid103.ba.infn.it,73039,1.5295543100801297,gate,2
32913825,ccsrm02.in2p3.fr,alicegrid93.ba.infn.it,73039,1.768673743277759,gate,2
32913848,storm-se-01.ba.infn.it,alicegrid103.ba.infn.it,501843312,5.145203695323289,gate,2
32913825,storm-se-01.ba.infn.it,alicegrid93.ba.infn.it,501843312,5.304616650788375,gate,2
32913848,dc2-grid-64.brunel.ac.uk,alicegrid103.ba.infn.it,6901,1.5817047515483864,gate,2
32913825,dc2-grid-64.brunel.ac.uk,alicegrid93.ba.infn.it,6901,1.8208241847460158,gate,2
